Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Anual
9.7016051,-7.61570342716,10.771236016,-0.566425348617,-2.54307272089,3.83747137597,0.542634506946,1.48487351704,-4.45180819145,0.274838987742,14.0161040866,11.5091468572,45.5786402
-6.0867928275,13.18793144,1.45985139978,0.557466767309,-4.98815969252,-3.58411406779,0.7825521745,8.59474541219,6.86982415594,-1.19436738418,-1.07621530551,1.30068134923,23.0957795675
-0.781578267805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.781578267805
0.0,0.0,3.59648832458,2.21191746934,-0.501531681706,0.746466072363,-2.18244215603,0.0,0.0,0.0,0.0,0.0,1.86705573099
0.0,0.0,0.0,1.04047134407,5.84119730541,2.16747223337,1.72996754207,7.58767808217,-4.66672544732,6.8679484632,3.06560428235,-3.06025907751,34.4068955645
3.73424800437,-0.684462250759,-7.68750032349,-3.71787473637,-2.48944192193,7.49228257614,-2.93830532036,-1.33710842022,4.60216578605,4.60039722816,11.0208727055,0.345347511819,19.1344427727
-3.74085540024,3.3513449557,-2.54630171342,-6.58310045855,0.952224262409,6.15295443871,1.20597560993,-2.51092334303,2.04058246286,-9.17511426998,9.39884375508,-0.932097717362,5.32905532571
7.00392098837,1.08095694205,2.28117683803,0.404204225069,-9.33632112282,-4.91157402781,-0.785147795325,1.05240966587,0.267442920373,-0.0634673391773,4.64114365074,1.7264495146,2.86292416997
2.4110353874,-1.7032068147,1.73463537227,1.74063864883,4.03537125624,-1.92931106714,-3.12887388313,-0.337381401332,2.93214139455,5.22750697456,-2.97350812499,4.21870107928,17.166698277
-6.80117192526,-1.28073989774,-0.696949099566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38458855393
0.0,0.0,0.0,0.0,0.0,-1.04933627522,13.6763743443,5.72821148797,8.41080435796,-4.75488576828,7.1625535107,3.18824315106,32.2829974395
-6.06679722851,4.65366360243,8.30578179784,5.320522126,-7.50594315195,-3.98225151154,1.01828693602,-0.806228963394,8.3310525264,3.53148584657,-0.284647100109,4.96487547398,29.6706724498
-3.246114725,4.93719147097,3.99650738179,-1.87517758482,-1.47709347645,-2.4718655844,-6.25820029918,-7.75687027316,-0.451269350767,0.0,0.0,0.0,-16.178678662
5.67762528695,1.60433075401,4.44372911928,-4.78851602421,-12.526137009,6.88296830002,-0.968039882576,1.9558630759,2.70417049146,0.417833512158,-0.0553317927572,4.3752507135,10.2514046829
-0.40833987561719753,6.217769226561866,1.393392576406712,-1.560495001220272,2.7723698934292504,4.874824834083033,-2.686051494552465,4.14917892554452,-2.5505576066917537,0.05731017059215096,6.565472673102363,1.982767941672002,17.82378126846153
5.80173019755,-0.107581210513,8.15553220006,-5.41709486223,8.09425114868,-1.87614601744,7.50536262787,-3.40592197085,4.10907816067,3.11566041753,1.94638608102,1.49409793046,39.5920878841
-0.40833987561719753,6.217769226561866,1.393392576406712,-1.560495001220272,2.7723698934292504,4.874824834083033,-2.686051494552465,4.14917892554452,-2.5505576066917537,0.05731017059215096,6.565472673102363,1.982767941672002,17.82378126846153
0.31324873005,5.64427666871,-0.712831937781,-4.62049101305,1.69514899832,-1.01310652027,0.321537455084,-5.06993982213,1.65198312006,5.71837201351,0.57120240437,-1.34808090191,6.34649306048
-3.07197603263,-1.6103287108,0.88751850841,-1.11919553664,-1.5101563654,1.68452744409,1.59801243931,1.85649164353,2.40653293068,-3.81926170545,10.9412837653,,
,,,,,,,,,,,,
