16/10/1998,32.5949,33.7211,33.1248,2.880356799,,,,,,,
19/10/1998,33.2574,33.3899,32.7936,2.750503394,,,,,,,
20/10/1998,33.4561,34.4499,33.8536,1.388743303,,,,,,,
21/10/1998,32.7274,33.5886,33.1248,3.846455287,,,,,,,
22/10/1998,33.1911,33.3236,32.1311,4.339269871,,,,,,,
23/10/1998,32.7274,33.5886,33.0586,0.795232208,,,,,,,
26/10/1998,32.9924,33.6548,33.1911,1.183437238,,,,,,,
27/10/1998,32.8599,33.7874,33.7874,0.394000261,,,,,,,
28/10/1998,32.9924,33.3236,32.5949,3.529422211,,,,,,,
29/10/1998,33.7211,33.9199,33.5224,0.5965742,,,,,,,
30/10/1998,33.4561,34.3836,33.7211,0.586086634,,,,,,,
2/11/1998,33.5224,34.0524,33.7874,1.733966193,,,,,,,
3/11/1998,33.1911,33.7211,33.5886,1.362018536,,,,,,,
4/11/1998,34.0524,34.3836,33.6548,0.196612803,,,,,,,
5/11/1998,34.9136,34.9136,33.7211,1.926790679,,,,,,,
6/11/1998,34.7148,35.3773,34.9136,0,,,,,,,
9/11/1998,34.1186,34.9799,34.9799,1.123319191,,,,,,,
10/11/1998,33.7874,34.5161,34.0524,2.651522732,,,,,,,
11/11/1998,33.1911,33.9199,33.7874,2.111188692,,,,,,,
12/11/1998,33.3899,33.6548,33.1911,2.14859124,,,,,,,
13/11/1998,34.2511,34.5824,34.3174,1.96881277,,,,,,,
16/11/1998,34.9136,35.1786,35.1786,1.723998334,,,,,,,
17/11/1998,35.6423,36.1723,34.9799,0.564832029,,,,,,,
18/11/1998,36.3048,36.5698,35.7748,1.098907175,,,,,,,
19/11/1998,36.8348,37.0336,36.1723,1.086962466,,,,,,,
20/11/1998,37.2323,37.4311,37.2986,0.715566405,,,,,,,
23/11/1998,37.0998,38.1598,38.1598,1.946776878,,,,,,,
24/11/1998,37.4311,37.7623,37.0998,2.777792336,,,,,,,
25/11/1998,37.2323,37.8286,36.9673,2.105274308,,,,,,,
27/11/1998,36.9673,37.6961,37.0998,1.926584648,,,,,,,
30/11/1998,36.6361,36.9673,36.7023,2.636346996,,,,,,,
1/12/1998,37.4311,37.6298,35.9073,2.867399026,,,,,,,
2/12/1998,38.0936,38.0936,36.9673,1.760572738,,,,,,,
3/12/1998,36.5036,38.1598,37.7623,0.869699897,,,,,,,
4/12/1998,38.5573,38.5573,37.3648,2.083344252,,,,,,,
7/12/1998,38.4248,38.8223,38.6236,0.171951874,,,,,,,
8/12/1998,37.9611,39.2198,37.4973,3.412986866,,,,,,,
9/12/1998,37.8948,38.7561,37.8286,3.5471879,,,,,,,
10/12/1998,37.6298,38.1598,38.1598,1.538596505,,,,,,,
11/12/1998,36.0398,37.6298,37.6298,1.388896168,,,,,,,
14/12/1998,35.3111,35.9736,35.6423,5.281718213,,,,,,,
15/12/1998,36.2386,36.3711,35.4436,1.473302644,,,,,,,
16/12/1998,36.1061,37.0336,36.3048,0.182287585,,,,,,,
17/12/1998,38.3586,38.5573,36.7023,0.894593018,,,,,,,
18/12/1998,39.0873,39.7498,39.7498,3.092799548,,,,,,,
21/12/1998,39.0211,39.2198,38.8223,2.333345073,,,,,,,
22/12/1998,39.0873,39.2198,38.0273,3.040556046,,,,,,,
23/12/1998,40.2798,40.6773,39.5511,0.844726388,,,,,,,
24/12/1998,40.5448,40.8761,40.3461,0.814213333,,,,,,,
28/12/1998,40.6111,41.0748,40.6111,0.648300596,,,,,,,
29/12/1998,41.9361,41.9361,41.3398,0.645164432,,,,,,,
30/12/1998,42.2673,42.9298,41.8698,0.158097677,,,,,,,
31/12/1998,42.6648,42.9961,42.5323,0.92593024,,,,,,,
4/01/1999,41.9361,43.1286,42.6648,0.770535002,,,,,,,
5/01/1999,41.2736,41.7373,41.6711,3.379428036,,,,,,,
6/01/1999,40.5448,41.2073,40.8098,2.222232871,,,,,,,
